Company,Company Country,India Investment Location,Region,Year,Month,Date,Category,Investment ($),Investmen(INR),Description,Link,State Investment/Variety Notes,Partnership
Lava,India,India,Test,2020,November,20-Nov,Technology/Electronics,,,Lava begins manufacturing Nokia smartphones; in talks with telcos,https://economictimes.indiatimes.com/industry/telecom/lava-in-advanced-talks-with-telco-for-handset-bundling-deal/articleshow/79371642.cms,,
Prestige Group,India,India,,2020,November,20-Nov,Infrastructure,"$274,309,000.00","20,000,000,000.00","Prestige group to invest Rs 2,000 crore on housing projects in Bengaluru, Hyderabad, Goa",https://www.hindustantimes.com/real-estate/prestige-group-to-invest-rs-2-000-crore-on-housing-projects-in-bengaluru-hyderabad-goa/story-d0tuPKjzpMS8hzDWuiyzfM.html,,
Shiva Cement,India,Odisha,East,2020,November,20-Nov,Industry,"$205,731,750.00","15,000,000,000.00","JSW arm Shiva Cement plans to invest Rs 1,500 crore in new Odisha facility",https://www.newindianexpress.com/business/2020/nov/26/jsw-arm-shiva-cement-plans-to-invest-rs-1500-crore-in-new-odisha-facility-2228206.html,,
Lactalis,France,India,,2020,November,20-Nov,General Goods,"$13,715,450.00","1,000,000,000.00",Lactalis to double investment to ₹100 crore next year,https://www.thehindu.com/business/Industry/lactalis-to-double-investment-to-100-crore-next-year/article33087142.ece,,
Variety,Variety,Maharashtra,West,2020,November,20-Nov,State Investment,"$1,371,545,000.00","100,000,000,000.00","Eight companies to invest over Rs 10,000 crore in Pune, generate employment for 18,000",https://indianexpress.com/article/cities/pune/eight-companies-to-invest-over-rs-10000-crore-in-pune-generate-employment-for-18000-7064470/,,
NCML,India,India,,2020,November,20-Nov,Infrastructure,"$69,400,177.00","5,060,000,000.00","NCML to invest Rs 506 cr in grain silos in India, IFC to back the project",https://www.business-standard.com/article/companies/ncml-to-invest-rs-506-cr-in-grain-silos-in-india-ifc-to-back-the-project-120111600313_1.html,,
OnePlus,China,Telangana,South,2020,November,20-Nov,Technology/Electronics,"$13,715,450.00","1,000,000,000.00",OnePlus launches its largest experience store in Hyderabad; to invest Rs 100 cr in retail expansion,https://telecom.economictimes.indiatimes.com/news/oneplus-launches-its-largest-experience-store-in-hyderabad-to-invest-rs-100-cr-in-retail-expansion/79040424,,
Air Products and Chemicals,United States,India,,2020,November,20-Nov,Infrastructure,"$10,000,000,000.00","729,105,000,000.00",US-based gas major to invest $5-10 billion in India in major FDI push: Report,https://www.indiatoday.in/business/story/us-gas-major-air-products-major-fdi-push-india-report-1738526-2020-11-06,,
Variety,Variety,Uttar Pradesh,North,2020,November,20-Nov,State Investment,"$1,234,390,500.00","90,000,000,000.00",28 foreign companies set to make investments worth over 9000 crores in Uttar Pradesh,https://www.opindia.com/2020/11/28-foreign-companies-investments-worth-9000-crores-in-uttar-pradesh/,"-Two Canada-based companies to invest Rs 1746 crores.
-Four Germany-based companies to invest Rs 300 crore.
-One Hong Kong-based company to invest Rs 1000 crore in the state.
-Seven Japanese companies have signed contracts worth Rs 2000 crore with the state government.
-Two Singapore-based companies to invest Rs 1600 crore.
-Three UK-based companies to invest Rs 1375 crore in the state.
-Five companies from the USA to invest Rs 309 crore in the state.
-Four Korean companies have signed contracts worth Rs 928 crore with the state government.",
PUBG Mobile,South Korea,India,,2020,November,20-Nov,Technology/Electronics,"$100,000,000.00","7,291,050,000.00","PUBG Mobile to launch in India, invest $100M in region",https://www.reuters.com/article/esports-other-pubg-india-idUSFLM2K380L,,
Coal India,India,India,,2020,November,20-Nov,Infrastructure,"$760,000,000.00","55,411,980,000.00",Coal India to invest over $760 million over four years in solar to cut costs,https://www.reuters.com/article/coal-india-solar-idINKBN2830Z2,,
Dixon Technologies,United States,Uttar Pradesh,North,2020,December,20-Dec,Technology/Electronics,"$10,286,587.50","750,000,000.00","Dixon signs pact to make Motorola smartphones in India, shares rise",https://telecom.economictimes.indiatimes.com/news/dixon-signs-pact-to-make-motorola-smartphones-in-india-shares-rise/79988949,,
Baxter,United States,Gujarat,West,2020,December,20-Dec,R&D/Medical,"$13,715,450.00","1,000,000,000.00",US Pharma giant to set up global R&D headquarters in Ahmedabad,https://indianexpress.com/article/cities/ahmedabad/pharma-giant-to-set-up-global-rd-headquarters-in-ahmedabad-7117107/,,
Hindustan Foods,India,,,2020,December,20-Dec,General Goods,"$17,144,312.50","1,250,000,000.00",Hindustan Foods unit to invest Rs 125 cr to set up facility in north India,https://www.business-standard.com/article/companies/hindustan-foods-unit-to-invest-rs-125-cr-to-set-up-facility-in-north-india-120122200821_1.html,,
Om Logistics,India,Maharashtra,West,2020,December,20-Dec,Infrastructure,"$17,144,312.50","1,250,000,000.00",Om Logistics to build Rs 125 crore warehousing facility in Pune,https://www.businesstoday.in/current/corporate/om-logistics-to-build-rs-125-crore-warehousing-facility-in-pune/story/423682.html,,
Welspun Flooring,India,Telangana,South,2020,December,20-Dec,Industry,"$27,430,900.00","2,000,000,000.00",Welspun Flooring to invest Rs 200 cr to increase capacity,https://www.financialexpress.com/industry/welspun-flooring-to-invest-rs-200-cr-to-increase-capacity/2148901/,,
Optiemus Infracom,India,Uttar Pradesh,North,2020,December,20-Dec,Technology/Electronics,"$39,089,032.50","2,850,000,000.00",Optiemus Infracom setting up new factory for mobile manufacturing in Noida,https://www.financialexpress.com/industry/technology/optiemus-infracom-setting-up-new-factory-for-mobile-manufacturing-in-noida/2157631/,,
Dalmia Bharat,India,West Bengal,East,2020,December,20-Dec,Industry,"$49,375,620.00","3,600,000,000.00",Dalmia Cement (Bharat) invests Rs 360 crore in a 2.3 mt cement-making capacity in Bengal,https://economictimes.indiatimes.com/industry/indl-goods/svs/cement/dalmia-cement-bharat-invests-rs-360-crore-in-a-2-3-mt-cement-making-capacity-in-bengal/articleshow/79943270.cms?from=mdr,,
U.S. International Development Finance Corporation,United States,India,,2020,December,20-Dec,Infrastructure,"$54,000,000.00","3,937,167,000.00",U.S. financial body to invest $54 mn in India to support critical infrastructure projects,https://www.thehindu.com/business/Industry/us-financial-body-to-invest-54-mn-in-india-to-support-critical-infrastructure-projects/article33399952.ece,,
